date,open,high,low,close,volume
2018/1/17,1057.88,1109.58,761.61,1029.22,179200
2018/1/16,1276.71,1281.16,862.11,1057.88,127923.05
2018/1/15,1359.59,1379,1269,1276.71,33997.65
2018/1/14,1384.78,1389,1265,1359.59,35328.24
2018/1/13,1258.68,1420,1256,1384.78,41803.41
2018/1/12,1135,1288.34,1080.59,1258.68,46451.21
2018/1/11,1240.48,1334.33,1100,1135,95639.75
2018/1/10,1287.47,1378.99,1187.96,1240.48,96347.51
2018/1/9,1130,1301,1115,1287.47,102885.38
2018/1/8,1117.96,1229.76,964,1130,109477.59
2018/1/7,1004.27,1118.72,1000,1117.96,47293.11
2018/1/6,966,1009.22,950.01,1004.27,29967.36
2018/1/5,940,1022,924.69,966,52023.54
2018/1/4,940.4,999.91,895.52,940,77160.74
2018/1/3,858.6,950,850,940.4,57117.21
2018/1/2,752.78,888,752.78,858.6,67628.49
2018/1/1,743.48,768.87,722.02,752.78,29181.94
2017/12/31,698.46,759.08,687.03,743.48,24771.96
2017/12/30,732.67,740.72,659.06,698.46,59596.87
2017/12/29,717.23,758,709,732.67,44816.84
2017/12/28,738.78,739.8,666,717.23,40099.34
2017/12/27,751.09,770,704.54,738.78,53760.85
2017/12/26,724,765,716.7,751.09,24164.54
2017/12/25,686.96,750,684,724,42706.02
2017/12/24,699.86,704.93,604.19,686.96,45120.39
2017/12/23,669.36,755,649.57,699.86,40879.14
2017/12/22,783.8,792.5,501,669.36,164428.2
2017/12/21,797.1,842.73,752,783.8,75451.39
2017/12/20,817.72,833.67,721.02,797.1,81483.02
2017/12/19,787.28,870,772.91,817.72,87098.13
2017/12/18,706.91,800.39,671.56,787.28,57460.08
2017/12/17,684,726,683.06,706.91,27771.42
2017/12/16,676.36,711.77,665.5,684,23905.72
2017/12/15,689.69,692.5,601.13,676.36,54771.22
2017/12/14,694.5,745,647.5,689.69,89396.17
2017/12/13,620.59,742.23,585,694.5,127713.17
2017/12/12,503.47,645.55,487,620.59,95283.01
2017/12/11,425.07,505,421.17,503.47,44543.45
2017/12/10,456.38,459.44,401.33,425.07,29510.03
2017/12/9,440.27,497.99,433,456.38,48252.92
2017/12/8,411.03,454.85,391,440.27,58296.63
2017/12/7,415.83,436.42,400,411.03,48889.8
2017/12/6,455.76,459.85,405.88,415.83,50979.87
2017/12/5,467.83,471.9,450.49,455.76,22812.03
2017/12/4,463,473.9,446.2,467.83,31067.36
2017/12/3,456.04,482.8,441.02,463,33041.92
2017/12/2,460.3,472.32,447,456.04,23203.04
2017/12/1,435.09,469.4,415.16,460.3,30626.87
2017/11/30,423.9,455.99,388,435.09,59144.71
2017/11/29,464.95,519.23,405,423.9,116769.92
2017/11/28,474.67,478.15,457.61,464.95,49678.07
2017/11/27,467,487,456.24,474.67,53900.59
2017/11/26,463,472.76,438.09,467,29143.14
2017/11/25,471.17,483,451,463,31084.17
